SPACEPORT_REC_ID,POLYGON_ID,Interaction
2,219539,Intersect
2,219540,Intersect
2,219541,Intersect
2,219546,Intersect
2,219549,Intersect
2,219550,Intersect
2,219553,Intersect
2,219554,Intersect
2,219555,Intersect
2,219560,Intersect
2,219561,Intersect
2,219562,Intersect
2,219564,Intersect
2,219565,Intersect
2,219566,Intersect
2,223601,Intersect
2,223602,Intersect
2,223604,Intersect
2,223618,Intersect
2,223619,Intersect
2,223620,Intersect
2,223625,Intersect
2,223626,Intersect
2,223627,Intersect
2,223628,Intersect
2,223633,Intersect
2,223634,Intersect
2,223635,Intersect
2,223638,Intersect
2,223639,Intersect
2,223651,Intersect
2,223652,Intersect
2,223653,Intersect
2,223658,Intersect
2,223663,Intersect
2,223664,Intersect
2,223665,Intersect
2,223670,Intersect
2,223849,Intersect
2,223850,Intersect
2,223852,Intersect
2,224380,Intersect
2,224381,Intersect
2,224382,Intersect
2,224387,Intersect
2,224388,Intersect
2,224389,Intersect
2,224390,Intersect
2,224395,Intersect
2,224821,Intersect
2,224822,Intersect
2,224984,Intersect
2,224985,Intersect
2,224986,Intersect
2,224991,Intersect
2,225000,Intersect
2,225001,Intersect
2,225004,Intersect
2,225005,Intersect
2,225006,Intersect
2,225011,Intersect
2,225019,Intersect
2,225020,Intersect
2,225022,Intersect
2,225023,Intersect
2,225024,Intersect
2,225174,Intersect
2,225853,Intersect
2,226997,Intersect
2,227471,Intersect
2,228898,Intersect
2,228899,Intersect
2,231750,Intersect
2,231928,Intersect
2,234548,Intersect
2,235920,Intersect
2,235921,Intersect
2,236749,Intersect
2,242364,Intersect
2,242365,Intersect
2,242366,Intersect
2,242371,Intersect
2,242372,Intersect
2,242373,Intersect
2,242374,Intersect
2,242379,Intersect
2,246472,Intersect
2,246473,Intersect
2,246723,Intersect
2,246724,Intersect
2,246725,Intersect
2,246750,Intersect
2,246751,Intersect
2,246753,Intersect
2,246754,Intersect
2,246755,Intersect
2,246756,Intersect
2,246764,Intersect
2,246765,Intersect
2,246766,Intersect
2,246771,Intersect
2,246772,Intersect
2,246773,Intersect
2,246774,Intersect
2,246779,Intersect
2,246780,Intersect
2,246781,Intersect
2,246782,Intersect
2,246796,Intersect
2,249179,Intersect
2,249180,Intersect
2,249181,Intersect
2,249186,Intersect
2,249187,Intersect
2,249188,Intersect
2,249189,Intersect
2,249194,Intersect
2,249209,Intersect
2,249210,Intersect
2,249211,Intersect
2,249216,Intersect
2,249217,Intersect
2,249218,Intersect
2,249219,Intersect
2,249224,Intersect
2,250742,Intersect
2,250743,Intersect
2,251133,Intersect
2,251134,Intersect
2,251135,Intersect
2,251140,Intersect
2,251142,Intersect
2,251143,Intersect
2,251144,Intersect
2,251149,Intersect
2,252337,Intersect
2,252427,Intersect
2,252437,Intersect
2,255533,Intersect
2,255534,Intersect
2,255536,Intersect
2,255549,Intersect
2,255550,Intersect
2,255551,Intersect
2,255556,Intersect
2,255557,Intersect
2,255558,Intersect
2,255559,Intersect
2,255564,Intersect
2,255565,Intersect
2,255566,Intersect
2,255567,Intersect
2,255572,Intersect
2,255573,Intersect
2,255574,Intersect
2,255575,Intersect
2,255580,Intersect
2,255605,Intersect
2,255606,Intersect
2,255632,Intersect
2,255633,Intersect
2,255634,Intersect
2,259011,Intersect
2,259012,Intersect
2,259013,Intersect
2,259018,Intersect
2,259019,Intersect
2,259020,Intersect
2,259021,Intersect
2,259026,Intersect
2,259168,Intersect
2,259169,Intersect
2,263531,Intersect
2,263558,Intersect
2,264403,Intersect
2,264404,Intersect
2,264405,Intersect
2,264410,Intersect
2,264411,Intersect
2,264412,Intersect
2,264413,Intersect
2,264418,Intersect
2,266816,Intersect
2,266817,Intersect
2,266934,Intersect
2,266935,Intersect
2,266936,Intersect
2,266941,Intersect
2,266942,Intersect
2,266943,Intersect
2,266944,Intersect
2,266949,Intersect
2,266950,Intersect
2,266951,Intersect
2,266952,Intersect
2,266988,Intersect
2,266989,Intersect
2,266990,Intersect
2,266998,Intersect
2,266999,Intersect
2,267001,Intersect
2,267002,Intersect
2,267003,Intersect
2,267004,Intersect
2,267155,Intersect
2,269374,Intersect
2,274584,Intersect
2,274721,Intersect
2,274751,Intersect
2,278630,Intersect
2,278631,Intersect
2,278632,Intersect
2,278637,Intersect
2,278638,Intersect
2,278639,Intersect
2,278640,Intersect
2,278645,Intersect
2,278647,Intersect
2,278648,Intersect
2,278649,Intersect
2,278654,Intersect
2,278655,Intersect
2,278656,Intersect
2,278657,Intersect
2,278662,Intersect
2,279588,Intersect
2,279590,Intersect
2,279605,Intersect
2,279606,Intersect
2,279642,Intersect
2,279643,Intersect
2,279645,Intersect
2,279646,Intersect
2,279647,Intersect
2,279648,Intersect
2,279653,Intersect
2,279654,Intersect
2,279655,Intersect
2,279656,Intersect
2,279659,Intersect
2,279660,Intersect
2,279661,Intersect
2,279664,Intersect
2,279665,Intersect
2,279666,Intersect
2,279671,Intersect
2,281582,Intersect
2,281583,Intersect
2,281585,Intersect
2,281593,Intersect
2,281594,Intersect
2,281595,Intersect
2,281603,Intersect
2,281604,Intersect
2,281605,Intersect
2,281618,Intersect
2,281619,Intersect
2,281620,Intersect
2,281625,Intersect
2,281626,Intersect
2,281627,Intersect
2,281628,Intersect
2,281633,Intersect
2,281634,Intersect
2,281635,Intersect
2,281636,Intersect
2,281641,Intersect
2,281651,Intersect
2,281652,Intersect
2,281653,Intersect
2,281658,Intersect
2,282796,Intersect
2,283138,Intersect
2,283139,Intersect
2,283518,Intersect
2,283519,Intersect
2,283520,Intersect
2,283525,Intersect
2,283526,Intersect
2,283527,Intersect
2,283528,Intersect
2,283533,Intersect
2,284709,Intersect
2,284710,Intersect
2,284712,Intersect
2,284713,Intersect
2,284714,Intersect
2,284716,Intersect
2,284723,Intersect
2,284724,Intersect
2,284725,Intersect
2,284730,Intersect
2,284731,Intersect
2,284732,Intersect
2,284733,Intersect
2,284738,Intersect
2,284747,Intersect
2,284748,Intersect
2,284750,Intersect
2,284759,Intersect
2,284760,Intersect
2,284761,Intersect
2,284772,Intersect
2,284773,Intersect
2,284774,Intersect
2,284779,Intersect
2,284780,Intersect
2,284781,Intersect
2,284784,Intersect
2,284785,Intersect
2,284786,Intersect
2,284791,Intersect
2,284822,Intersect
2,284823,Intersect
2,284824,Intersect
2,284840,Intersect
2,284841,Intersect
2,284859,Intersect
2,284860,Intersect
2,284861,Intersect
2,284866,Intersect
2,284867,Intersect
2,284868,Intersect
2,284869,Intersect
2,284874,Intersect
2,284875,Intersect
2,284876,Intersect
2,284877,Intersect
2,284882,Intersect
2,284889,Intersect
2,284890,Intersect
2,284891,Intersect
2,284896,Intersect
2,285547,Intersect
2,285548,Intersect
2,285549,Intersect
2,285554,Intersect
2,285555,Intersect
2,285556,Intersect
2,285557,Intersect
2,285562,Intersect
2,285563,Intersect
2,285564,Intersect
2,285565,Intersect
2,285570,Intersect
2,285571,Intersect
2,285572,Intersect
2,285573,Intersect
2,285576,Intersect
2,285577,Intersect
2,285578,Intersect
2,285583,Intersect
2,285587,Intersect
2,285588,Intersect
2,285589,Intersect
2,285637,Intersect
2,285638,Intersect
2,285640,Intersect
2,286112,Intersect
2,286113,Intersect
