SPACEPORT_REC_ID,SPACEPORT_NAME,NOTAM_REC_ID
2,Cape Canaveral Air Force Station,112792
2,Cape Canaveral Air Force Station,112793
2,Cape Canaveral Air Force Station,112795
2,Cape Canaveral Air Force Station,112796
2,Cape Canaveral Air Force Station,112797
2,Cape Canaveral Air Force Station,112799
2,Cape Canaveral Air Force Station,112800
2,Cape Canaveral Air Force Station,112801
2,Cape Canaveral Air Force Station,112812
2,Cape Canaveral Air Force Station,112813
2,Cape Canaveral Air Force Station,112814
2,Cape Canaveral Air Force Station,112819
2,Cape Canaveral Air Force Station,112820
2,Cape Canaveral Air Force Station,112821
2,Cape Canaveral Air Force Station,112831
2,Cape Canaveral Air Force Station,112839
2,Cape Canaveral Air Force Station,114080
2,Cape Canaveral Air Force Station,114081
2,Cape Canaveral Air Force Station,116620
2,Cape Canaveral Air Force Station,116621
2,Cape Canaveral Air Force Station,116624
2,Cape Canaveral Air Force Station,116625
2,Cape Canaveral Air Force Station,116632
2,Cape Canaveral Air Force Station,116633
2,Cape Canaveral Air Force Station,125204
2,Cape Canaveral Air Force Station,126185
2,Cape Canaveral Air Force Station,127029
2,Cape Canaveral Air Force Station,127030
2,Cape Canaveral Air Force Station,127083
2,Cape Canaveral Air Force Station,127084
2,Cape Canaveral Air Force Station,127085
2,Cape Canaveral Air Force Station,127091
2,Cape Canaveral Air Force Station,127092
2,Cape Canaveral Air Force Station,127093
2,Cape Canaveral Air Force Station,127094
2,Cape Canaveral Air Force Station,127100
2,Cape Canaveral Air Force Station,127101
2,Cape Canaveral Air Force Station,127105
2,Cape Canaveral Air Force Station,127106
2,Cape Canaveral Air Force Station,127107
2,Cape Canaveral Air Force Station,127108
2,Cape Canaveral Air Force Station,127110
2,Cape Canaveral Air Force Station,127115
2,Cape Canaveral Air Force Station,127117
2,Cape Canaveral Air Force Station,127118
2,Cape Canaveral Air Force Station,127119
2,Cape Canaveral Air Force Station,127126
2,Cape Canaveral Air Force Station,127454
2,Cape Canaveral Air Force Station,127455
2,Cape Canaveral Air Force Station,127458
2,Cape Canaveral Air Force Station,127459
2,Cape Canaveral Air Force Station,127460
2,Cape Canaveral Air Force Station,127466
2,Cape Canaveral Air Force Station,127467
2,Cape Canaveral Air Force Station,127468
2,Cape Canaveral Air Force Station,127471
2,Cape Canaveral Air Force Station,127472
2,Cape Canaveral Air Force Station,127473
2,Cape Canaveral Air Force Station,127478
2,Cape Canaveral Air Force Station,127479
2,Cape Canaveral Air Force Station,127480
2,Cape Canaveral Air Force Station,127482
2,Cape Canaveral Air Force Station,127630
2,Cape Canaveral Air Force Station,127631
2,Cape Canaveral Air Force Station,127641
2,Cape Canaveral Air Force Station,127642
2,Cape Canaveral Air Force Station,127643
2,Cape Canaveral Air Force Station,127653
2,Cape Canaveral Air Force Station,127655
2,Cape Canaveral Air Force Station,127656
2,Cape Canaveral Air Force Station,127662
2,Cape Canaveral Air Force Station,127665
2,Cape Canaveral Air Force Station,127666
2,Cape Canaveral Air Force Station,127667
2,Cape Canaveral Air Force Station,127673
2,Cape Canaveral Air Force Station,127687
2,Cape Canaveral Air Force Station,127688
2,Cape Canaveral Air Force Station,127689
2,Cape Canaveral Air Force Station,127693
2,Cape Canaveral Air Force Station,127694
2,Cape Canaveral Air Force Station,131108
2,Cape Canaveral Air Force Station,131109
2,Cape Canaveral Air Force Station,131110
2,Cape Canaveral Air Force Station,131118
2,Cape Canaveral Air Force Station,131119
2,Cape Canaveral Air Force Station,131526
2,Cape Canaveral Air Force Station,131527
2,Cape Canaveral Air Force Station,131529
2,Cape Canaveral Air Force Station,131530
2,Cape Canaveral Air Force Station,131532
2,Cape Canaveral Air Force Station,135988
2,Cape Canaveral Air Force Station,136005
2,Cape Canaveral Air Force Station,136007
2,Cape Canaveral Air Force Station,136013
2,Cape Canaveral Air Force Station,136014
2,Cape Canaveral Air Force Station,136015
2,Cape Canaveral Air Force Station,136016
2,Cape Canaveral Air Force Station,136017
2,Cape Canaveral Air Force Station,136019
2,Cape Canaveral Air Force Station,136020
2,Cape Canaveral Air Force Station,137607
2,Cape Canaveral Air Force Station,138595
2,Cape Canaveral Air Force Station,139373
2,Cape Canaveral Air Force Station,139378
2,Cape Canaveral Air Force Station,139381
2,Cape Canaveral Air Force Station,139383
2,Cape Canaveral Air Force Station,139390
2,Cape Canaveral Air Force Station,139391
2,Cape Canaveral Air Force Station,139394
2,Cape Canaveral Air Force Station,139395
2,Cape Canaveral Air Force Station,139401
2,Cape Canaveral Air Force Station,139402
2,Cape Canaveral Air Force Station,139403
2,Cape Canaveral Air Force Station,139404
2,Cape Canaveral Air Force Station,139409
2,Cape Canaveral Air Force Station,139792
2,Cape Canaveral Air Force Station,139800
2,Cape Canaveral Air Force Station,139804
2,Cape Canaveral Air Force Station,139805
2,Cape Canaveral Air Force Station,139806
2,Cape Canaveral Air Force Station,139826
2,Cape Canaveral Air Force Station,139830
2,Cape Canaveral Air Force Station,139841
2,Cape Canaveral Air Force Station,139842
2,Cape Canaveral Air Force Station,139844
2,Cape Canaveral Air Force Station,140714
2,Cape Canaveral Air Force Station,141592
2,Cape Canaveral Air Force Station,141594
2,Cape Canaveral Air Force Station,141595
2,Cape Canaveral Air Force Station,141600
2,Cape Canaveral Air Force Station,141601
2,Cape Canaveral Air Force Station,141602
2,Cape Canaveral Air Force Station,141606
2,Cape Canaveral Air Force Station,141607
2,Cape Canaveral Air Force Station,141619
2,Cape Canaveral Air Force Station,141621
2,Cape Canaveral Air Force Station,141623
2,Cape Canaveral Air Force Station,141624
2,Cape Canaveral Air Force Station,141625
2,Cape Canaveral Air Force Station,141630
2,Cape Canaveral Air Force Station,142425
2,Cape Canaveral Air Force Station,149403
2,Cape Canaveral Air Force Station,149404
2,Cape Canaveral Air Force Station,149405
2,Cape Canaveral Air Force Station,149412
2,Cape Canaveral Air Force Station,149413
2,Cape Canaveral Air Force Station,149414
2,Cape Canaveral Air Force Station,149415
2,Cape Canaveral Air Force Station,149421
2,Cape Canaveral Air Force Station,149504
2,Cape Canaveral Air Force Station,149505
2,Cape Canaveral Air Force Station,149507
2,Cape Canaveral Air Force Station,149517
2,Cape Canaveral Air Force Station,149518
2,Cape Canaveral Air Force Station,149680
2,Cape Canaveral Air Force Station,149681
